COUNTRY,NUMBER
"Algeria",127037
"Australia",718004
"Bahrain",814902
"Brazil",692288
"Bulgaria",789331
"Canada",306845
"China",516050
"Colombia",404022
"Croatia",645013
"Cyprus",664187
"Czech Republic",741211
"Denmark",120585
"Finland",187949
"France",504913
"Germany",104884
"Greece",825452
"India",889479
"Indonesia",761480
"Ireland",863559
"Italy",826093
"Japan",260316
"Jordan",828361
"Korea",787019
"Lebanon",580882
"Malaysia",479430
"Mexico",698178
"Morocco",378407
"Netherlands",704203
"New Zealand",795703
"Pakistan",088044
"Palestine",211645
"Panama",488421
"Philippines",537815
"Poland",488434
"Portugal",133749
"Serbia",387266
"Singapore",424679
"Slovak Republic",208199
"South Africa",914782
"Spain",914004
"Sweden",196251
"Thailand",837015
"Trinidad and Tobago",599669
"Türkiye",232854
"UAE",284764
"UK",385944
"Ukraine",642340
"USA",422295
"Venezuela",020999
"Yemen",724883
